date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-23,BUY,2021-06-23T08:42:00+00:00,14268.5,14263.5,STOP,25,5.0,-0.112,-65.0,False
2021-06-30,SELL,2021-06-30T07:00:00+00:00,14576.5,14579.5,STOP,41,3.0,0.1382,-26.68,False
2021-06-30,SELL,2021-06-30T08:00:00+00:00,14583.75,14576.0,TARGET,41,3.0,2.5833,574.82,False
2021-07-09,BUY,2021-07-09T06:08:00+00:00,14696.0,14699.25,STOP,19,6.5,0.6093,122.38,False
2021-07-09,SELL,2021-07-09T07:03:00+00:00,14705.5,14711.75,STOP,20,6.25,-1.0,-279.6,True
2021-07-14,BUY,2021-07-14T07:23:00+00:00,14866.75,14871.25,STOP,13,9.0,0.6923,142.76,False
2021-07-19,BUY,2021-07-19T09:11:00+00:00,14610.5,14613.0,STOP,24,5.25,0.4762,84.48,False
2021-07-20,SELL,2021-07-20T08:52:00+00:00,14614.5,14607.25,TARGET,38,3.25,0.9939,189.26,False
2021-07-22,BUY,2021-07-22T08:00:00+00:00,14864.5,14860.75,STOP,33,3.75,-1.0,-296.34,False
2021-07-26,BUY,2021-07-26T06:44:00+00:00,15099.0,15095.0,STOP,31,4.0,-0.3347,-128.88,False
2021-07-27,BUY,2021-07-27T07:39:00+00:00,15061.75,15054.5,STOP,17,7.25,-1.0,-271.66,True
2021-08-02,SELL,2021-08-02T06:31:00+00:00,15041.25,15044.25,STOP,41,3.0,-1.0,-306.68,False
2021-08-02,SELL,2021-08-02T07:00:00+00:00,15042.25,15045.75,STOP,17,3.5,0.3445,15.84,False
2021-08-10,SELL,2021-08-10T07:31:00+00:00,15135.75,15139.0,STOP,38,3.25,-1.0,-303.24,False
2021-08-10,BUY,2021-08-10T08:06:00+00:00,15140.0,15136.5,STOP,17,3.5,-0.395,-72.16,False
2021-08-11,SELL,2021-08-11T07:08:00+00:00,15037.5,15026.5,TARGET,27,4.5,1.8189,402.04,False
2021-08-12,SELL,2021-08-12T09:18:00+00:00,15005.75,15009.25,STOP,35,3.5,-1.0,-296.8,False
2021-08-17,BUY,2021-08-17T07:00:00+00:00,15095.75,15095.75,STOP,32,3.75,0.4667,64.64,False
2021-08-17,BUY,2021-08-17T08:08:00+00:00,15073.0,15077.0,STOP,15,8.0,0.8208,174.8,False
2021-08-25,SELL,2021-08-25T08:13:00+00:00,15376.0,15379.5,STOP,35,3.5,-1.0,-296.8,False
2021-09-09,SELL,2021-09-09T06:45:00+00:00,15571.0,15569.0,STOP,30,4.0,1.1417,229.6,False
2021-09-14,SELL,2021-09-14T08:23:00+00:00,15427.25,15431.5,STOP,29,4.25,-0.3185,-121.42,False
2021-09-16,BUY,2021-09-16T08:49:00+00:00,15474.25,15470.75,STOP,35,3.5,-1.0,-296.8,False
2021-09-17,BUY,2021-09-17T07:06:00+00:00,15520.5,15516.25,STOP,28,4.25,-0.0882,-62.44,False
2021-09-20,SELL,2021-09-20T06:56:00+00:00,15217.0,15210.5,TARGET,40,3.0,0.9167,160.8,False
2021-09-20,BUY,2021-09-20T07:57:00+00:00,15193.25,15200.5,STOP,8,14.25,0.5088,104.16,False
2021-09-21,SELL,2021-09-21T07:00:00+00:00,15077.75,15082.0,STOP,29,4.25,-1.0,-289.42,True
2021-09-30,SELL,2021-09-30T08:42:00+00:00,14840.75,14847.25,STOP,18,6.5,-1.0,-260.64,False
2021-10-01,SELL,2021-10-01T08:40:00+00:00,14608.5,14602.25,STOP,9,12.5,0.7133,147.18,False
2021-10-06,SELL,2021-10-06T06:49:00+00:00,14566.5,14571.75,STOP,23,5.25,-1.0,-275.54,False
2021-10-06,SELL,2021-10-06T09:08:00+00:00,14467.0,14464.0,STOP,10,5.75,0.5435,47.7,False
2021-10-08,BUY,2021-10-08T07:17:00+00:00,14885.25,14876.5,STOP,13,8.75,-0.2088,-66.74,False
2021-10-08,SELL,2021-10-08T08:07:00+00:00,14864.0,14869.5,STOP,11,5.5,-1.0,-137.28,True
2021-10-13,BUY,2021-10-13T06:32:00+00:00,14624.25,14626.5,STOP,28,4.25,0.5294,84.56,False
2021-10-15,SELL,2021-10-15T06:56:00+00:00,15076.75,15080.0,STOP,37,3.25,-1.0,-295.26,False
2021-10-15,SELL,2021-10-15T07:56:00+00:00,15059.5,15057.25,STOP,13,4.5,0.4744,36.26,False
2021-10-18,BUY,2021-10-18T08:24:00+00:00,15088.0,15083.5,STOP,26,4.5,0.0833,-18.98,False
2021-10-26,BUY,2021-10-26T08:24:00+00:00,15601.5,15597.75,STOP,32,3.75,-0.3333,-127.36,False
2021-10-27,BUY,2021-10-27T08:16:00+00:00,15574.75,15571.5,STOP,37,3.25,-1.0,-295.26,False
2021-10-27,SELL,2021-10-27T08:46:00+00:00,15570.0,15568.5,STOP,19,3.0,1.3553,126.38,False
2021-11-01,SELL,2021-11-01T07:30:00+00:00,15876.0,15874.5,STOP,40,3.0,0.5,60.8,False
2021-11-10,SELL,2021-11-10T07:58:00+00:00,16234.0,16239.5,STOP,21,5.5,-1.0,-262.08,False
2021-11-10,SELL,2021-11-10T08:08:00+00:00,16233.25,16231.5,STOP,17,3.5,0.584,44.34,False
2021-11-22,SELL,2021-11-22T07:09:00+00:00,16616.0,16619.5,STOP,34,3.5,-0.3214,-126.82,False
2021-11-22,SELL,2021-11-22T10:10:00+00:00,16642.75,16641.0,STOP,18,3.25,1.2051,114.36,False
2021-12-02,BUY,2021-12-02T08:05:00+00:00,15936.0,15929.75,STOP,19,6.25,-1.0,-265.62,False
2021-12-09,BUY,2021-12-09T07:46:00+00:00,16391.75,16394.0,STOP,25,4.75,0.5368,90.5,False
2021-12-15,BUY,2021-12-15T08:28:00+00:00,15942.0,15935.5,STOP,18,6.5,-1.0,-260.64,False
2021-12-20,BUY,2021-12-20T08:05:00+00:00,15573.0,15575.5,STOP,22,5.25,0.4762,77.44,False
2021-12-27,BUY,2021-12-27T07:08:00+00:00,16335.0,16332.0,STOP,39,3.0,0.3932,34.28,False
2021-12-27,SELL,2021-12-27T08:03:00+00:00,16314.0,16318.5,STOP,26,4.5,-0.0556,-51.48,False
2022-01-03,SELL,2022-01-03T09:10:00+00:00,16399.0,16402.5,STOP,33,3.5,-1.0,-279.84,False
2022-01-03,SELL,2022-01-03T09:24:00+00:00,16400.5,16398.0,STOP,12,4.75,1.2368,123.24,False
2022-01-05,BUY,2022-01-05T09:01:00+00:00,16220.75,16235.5,TARGET,20,5.75,1.7717,377.9,False
2022-01-06,SELL,2022-01-06T08:41:00+00:00,15721.5,15732.75,STOP,10,11.25,-1.0,-239.8,False
2022-01-10,BUY,2022-01-10T07:37:00+00:00,15658.0,15650.0,STOP,14,8.0,-1.0,-244.72,False
2022-01-11,SELL,2022-01-11T08:43:00+00:00,15614.0,15614.0,STOP,6,19.0,0.0,-8.88,False
2022-01-12,SELL,2022-01-12T07:30:00+00:00,15855.25,15861.0,STOP,20,5.75,-1.0,-259.6,False
2022-01-12,SELL,2022-01-12T08:00:00+00:00,15874.25,15866.0,TARGET,18,3.25,2.5385,270.36,False
2022-01-13,SELL,2022-01-13T09:53:00+00:00,15884.5,15888.5,STOP,29,4.0,-1.0,-274.92,False
2022-01-18,SELL,2022-01-18T07:26:00+00:00,15445.75,15452.25,STOP,18,6.5,-1.0,-260.64,False
2022-01-18,SELL,2022-01-18T07:52:00+00:00,15450.5,15454.75,STOP,13,4.25,-1.0,-129.74,False
2022-01-19,BUY,2022-01-19T07:38:00+00:00,15075.25,15078.75,STOP,16,7.0,0.5,88.32,False
2022-01-20,BUY,2022-01-20T07:48:00+00:00,15134.0,15128.25,STOP,20,5.75,-1.0,-259.6,False
2022-01-21,SELL,2022-01-21T09:22:00+00:00,14760.75,14772.0,STOP,10,11.25,-1.0,-239.8,False
2022-01-24,SELL,2022-01-24T07:28:00+00:00,14506.25,14513.0,STOP,17,6.75,-1.0,-254.66,True
2022-01-24,SELL,2022-01-24T09:50:00+00:00,14458.0,14450.75,STOP,3,14.5,0.5,39.06,True
2022-01-25,BUY,2022-01-25T08:54:00+00:00,14240.25,14223.75,STOP,6,16.5,-1.0,-206.88,False
2022-01-25,BUY,2022-01-25T10:05:00+00:00,14325.5,14334.0,STOP,3,17.25,1.2271,122.56,False
2022-01-28,BUY,2022-01-28T07:21:00+00:00,14122.0,14108.75,STOP,8,13.25,-1.0,-223.84,False
2022-01-28,BUY,2022-01-28T09:06:00+00:00,14050.0,14087.0,TARGET,2,19.75,1.5696,121.04,False
2022-02-02,SELL,2022-02-02T07:44:00+00:00,15188.0,15169.5,TARGET,16,7.0,2.2411,478.32,False
2022-02-02,BUY,2022-02-02T08:29:00+00:00,15176.75,15168.75,STOP,14,8.0,-1.0,-244.72,False
2022-02-04,SELL,2022-02-04T08:00:00+00:00,14749.5,14757.0,STOP,15,7.5,-1.0,-247.2,False
2022-02-07,BUY,2022-02-07T08:00:00+00:00,14713.75,14706.5,STOP,15,7.25,-1.0,-239.7,True
2022-02-07,SELL,2022-02-07T09:55:00+00:00,14657.5,14669.5,STOP,4,12.0,-1.0,-101.92,False
2022-02-08,SELL,2022-02-08T07:48:00+00:00,14548.75,14560.75,STOP,9,12.0,-1.0,-229.32,False
2022-02-08,SELL,2022-02-08T09:50:00+00:00,14603.25,14610.25,STOP,8,7.0,-1.0,-123.84,True
2022-02-09,SELL,2022-02-09T07:47:00+00:00,14778.5,14772.25,STOP,9,12.5,0.5,99.18,False
2022-02-09,BUY,2022-02-09T08:05:00+00:00,14777.75,14809.0,TARGET,10,11.25,1.7444,377.7,False
2022-02-10,BUY,2022-02-10T08:05:00+00:00,15019.0,15021.0,STOP,28,4.0,0.6562,105.56,False
2022-02-11,BUY,2022-02-11T07:33:00+00:00,14591.25,14595.75,STOP,12,9.0,0.6806,129.24,False
2022-02-15,BUY,2022-02-15T08:00:00+00:00,14248.5,14277.0,TARGET,12,9.0,3.1667,666.24,False
2022-02-16,BUY,2022-02-16T09:09:00+00:00,14628.75,14614.5,STOP,8,14.25,-1.0,-239.84,False
2022-02-16,SELL,2022-02-16T10:10:00+00:00,14606.75,14604.5,STOP,12,4.5,0.4722,33.24,False
2022-02-22,SELL,2022-02-22T08:01:00+00:00,13641.0,13634.0,STOP,8,14.0,0.5,100.16,False
2022-02-23,BUY,2022-02-23T07:17:00+00:00,13940.25,13964.5,TARGET,15,7.5,3.0,652.8,False
2022-02-23,BUY,2022-02-23T09:52:00+00:00,14049.5,14042.25,STOP,16,7.25,-0.1724,-63.68,False
2022-02-24,BUY,2022-02-24T09:13:00+00:00,13206.75,13181.5,STOP,4,25.25,-1.0,-207.92,True
2022-02-25,BUY,2022-02-25T07:04:00+00:00,13861.5,13846.25,STOP,7,15.25,-1.0,-223.86,False
2022-02-25,BUY,2022-02-25T08:00:00+00:00,13832.75,13811.75,STOP,2,21.0,0.0655,2.54,False
2022-02-28,BUY,2022-02-28T07:11:00+00:00,13879.25,13892.25,STOP,4,26.0,0.5,98.08,False
2022-03-02,BUY,2022-03-02T08:06:00+00:00,13961.25,13946.25,STOP,7,15.0,-1.0,-220.36,True
2022-03-03,BUY,2022-03-03T09:55:00+00:00,14191.0,14178.25,STOP,9,12.75,-1.0,-242.82,False
