date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-14,BUY,2021-06-14T16:05:00+00:00,14049.0,14115.0,EOD,1,83.75,0.7881,130.52,False
2021-06-15,SELL,2021-06-15T14:29:00+00:00,14069.75,14023.5,EOD,2,60.75,0.7613,182.04,False
2021-06-16,BUY,2021-06-16T14:08:00+00:00,14092.0,14042.5,STOP,2,49.5,-1.0,-200.96,False
2021-06-17,BUY,2021-06-17T14:03:00+00:00,14035.75,14173.25,EOD,1,103.75,1.3253,273.52,False
2021-06-18,SELL,2021-06-18T15:13:00+00:00,14042.75,14078.0,EOD,1,88.75,-0.3972,-71.98,False
2021-06-21,BUY,2021-06-21T14:11:00+00:00,14074.5,14131.75,EOD,1,116.0,0.4935,113.02,False
2021-06-22,BUY,2021-06-22T14:32:00+00:00,14179.25,14264.0,EOD,1,71.75,1.1812,168.02,False
2021-06-23,SELL,2021-06-23T15:05:00+00:00,14252.5,14259.25,EOD,2,59.25,-0.1139,-29.96,False
2021-06-24,BUY,2021-06-24T14:06:00+00:00,14388.75,14344.0,STOP,2,44.75,-1.0,-181.96,False
2021-06-25,SELL,2021-06-25T14:12:00+00:00,14325.5,14325.0,EOD,1,65.0,0.0077,-0.48,False
2021-06-28,BUY,2021-06-28T14:02:00+00:00,14461.75,14517.25,EOD,1,71.0,0.7817,109.52,False
2021-06-29,BUY,2021-06-29T16:19:00+00:00,14530.5,14559.0,EOD,2,60.0,0.475,111.04,False
2021-06-30,BUY,2021-06-30T15:01:00+00:00,14573.5,14519.75,STOP,2,53.75,-1.0,-217.96,False
2021-07-01,SELL,2021-07-01T14:21:00+00:00,14511.25,14538.5,EOD,2,58.75,-0.4638,-111.96,False
2021-07-02,BUY,2021-07-02T15:55:00+00:00,14670.25,14725.25,EOD,2,51.0,1.0784,217.04,False
2021-07-05,SELL,2021-07-05T16:52:00+00:00,14691.75,14693.25,EOD,10,12.75,-0.1176,-44.8,False
2021-07-06,BUY,2021-07-06T14:08:00+00:00,14778.5,14738.0,STOP,3,40.5,-1.0,-247.44,False
2021-07-07,SELL,2021-07-07T14:04:00+00:00,14811.0,14805.5,EOD,1,72.75,0.0756,9.52,False
2021-07-08,BUY,2021-07-08T14:06:00+00:00,14644.5,14687.75,EOD,1,104.0,0.4159,85.02,False
2021-07-09,BUY,2021-07-09T14:24:00+00:00,14726.0,14823.0,EOD,2,58.0,1.6724,385.04,False
2021-07-12,SELL,2021-07-12T14:02:00+00:00,14808.25,14865.75,EOD,1,80.25,-0.7165,-116.48,False
2021-07-13,BUY,2021-07-13T14:02:00+00:00,14929.75,14842.25,STOP,1,87.5,-1.0,-176.48,False
2021-07-14,BUY,2021-07-14T14:05:00+00:00,14992.25,14935.0,STOP,2,57.25,-1.0,-231.96,False
2021-07-15,SELL,2021-07-15T14:29:00+00:00,14787.5,14781.25,EOD,1,114.75,0.0545,11.02,False
2021-07-16,SELL,2021-07-16T14:09:00+00:00,14797.0,14670.75,EOD,1,72.5,1.7414,251.02,False
2021-07-19,SELL,2021-07-19T14:02:00+00:00,14458.0,14573.5,STOP,1,115.5,-1.0,-232.48,False
2021-07-20,BUY,2021-07-20T14:21:00+00:00,14608.5,14759.25,EOD,1,91.75,1.6431,300.02,False
2021-07-21,BUY,2021-07-21T14:25:00+00:00,14761.25,14819.75,EOD,1,69.0,0.8478,115.52,False
2021-07-22,BUY,2021-07-22T14:04:00+00:00,14895.25,14922.0,EOD,2,55.75,0.4798,104.04,False
2021-07-23,BUY,2021-07-23T14:18:00+00:00,14999.25,15103.5,EOD,1,65.0,1.6038,207.02,False
2021-07-26,BUY,2021-07-26T14:02:00+00:00,15101.75,15108.25,EOD,2,61.5,0.1057,23.04,False
2021-07-27,SELL,2021-07-27T14:06:00+00:00,15016.0,14920.25,EOD,1,91.0,1.0522,190.02,False
2021-07-29,BUY,2021-07-29T15:02:00+00:00,15082.0,15038.75,EOD,1,99.75,-0.4336,-87.98,False
2021-07-30,BUY,2021-07-30T14:02:00+00:00,14960.25,14942.75,EOD,1,94.25,-0.1857,-36.48,False
2021-08-02,BUY,2021-08-02T15:23:00+00:00,15047.5,14935.75,STOP,1,111.75,-1.0,-224.98,False
2021-08-03,SELL,2021-08-03T14:08:00+00:00,14888.75,15008.75,STOP,1,120.0,-1.0,-241.48,False
2021-08-04,SELL,2021-08-04T14:21:00+00:00,15007.5,15069.5,STOP,2,62.0,-1.0,-250.96,False
2021-08-05,BUY,2021-08-05T14:10:00+00:00,15129.0,15159.0,EOD,2,56.0,0.5357,117.04,False
2021-08-06,SELL,2021-08-06T14:06:00+00:00,15097.25,15089.5,EOD,2,52.75,0.1469,28.04,False
2021-08-09,BUY,2021-08-09T18:32:00+00:00,15141.25,15119.25,EOD,1,72.25,-0.3045,-45.48,False
2021-08-10,BUY,2021-08-10T14:02:00+00:00,15155.0,15116.75,STOP,3,38.25,-1.0,-233.94,False
2021-08-11,SELL,2021-08-11T14:12:00+00:00,15042.5,15021.0,EOD,1,76.5,0.281,41.52,False
2021-08-12,BUY,2021-08-12T14:20:00+00:00,15008.5,15088.5,EOD,2,62.0,1.2903,317.04,False
2021-08-13,BUY,2021-08-13T14:12:00+00:00,15110.0,15116.5,EOD,3,41.75,0.1557,34.56,False
2021-08-16,SELL,2021-08-16T14:07:00+00:00,15015.5,15112.25,STOP,1,96.75,-1.0,-194.98,False
2021-08-17,BUY,2021-08-17T14:44:00+00:00,15048.5,14955.0,STOP,1,93.5,-1.0,-188.48,False
2021-08-18,SELL,2021-08-18T15:37:00+00:00,14959.5,14872.5,EOD,1,76.5,1.1373,172.52,False
2021-08-19,BUY,2021-08-19T14:02:00+00:00,14846.25,14924.0,EOD,1,82.5,0.9424,154.02,False
2021-08-20,BUY,2021-08-20T14:04:00+00:00,15048.5,15090.75,EOD,1,89.5,0.4721,83.02,False
2021-08-23,BUY,2021-08-23T14:02:00+00:00,15212.5,15317.75,EOD,1,87.75,1.1994,209.02,False
2021-08-24,BUY,2021-08-24T14:10:00+00:00,15361.25,15348.25,EOD,2,48.25,-0.2694,-54.96,False
2021-08-25,SELL,2021-08-25T14:10:00+00:00,15357.0,15373.25,EOD,3,40.0,-0.4062,-101.94,False
2021-08-26,BUY,2021-08-26T14:07:00+00:00,15363.0,15334.25,STOP,4,28.75,-1.0,-235.92,False
2021-08-27,BUY,2021-08-27T14:03:00+00:00,15364.5,15430.0,EOD,1,80.25,0.8162,129.52,False
2021-08-30,BUY,2021-08-30T14:03:00+00:00,15534.5,15611.5,EOD,1,79.25,0.9716,152.52,False
2021-09-02,SELL,2021-09-02T14:04:00+00:00,15639.25,15597.0,EOD,2,42.75,0.9883,166.04,False
2021-09-03,BUY,2021-09-03T14:02:00+00:00,15646.5,15643.75,EOD,1,92.25,-0.0298,-6.98,False
2021-09-06,BUY,2021-09-06T14:02:00+00:00,15704.25,15701.25,EOD,7,17.5,-0.1714,-52.36,False
2021-09-07,SELL,2021-09-07T14:13:00+00:00,15611.5,15668.75,STOP,2,57.25,-1.0,-231.96,False
2021-09-08,SELL,2021-09-08T14:33:00+00:00,15607.25,15613.0,EOD,2,60.0,-0.0958,-25.96,False
2021-09-09,SELL,2021-09-09T15:27:00+00:00,15617.5,15561.5,EOD,2,58.25,0.9614,221.04,False
2021-09-10,SELL,2021-09-10T14:03:00+00:00,15632.5,15440.5,EOD,3,35.5,5.4085,1147.56,False
2021-09-14,SELL,2021-09-14T14:02:00+00:00,15413.75,15376.25,EOD,1,117.0,0.3205,73.52,False
2021-09-15,SELL,2021-09-15T14:13:00+00:00,15317.0,15433.5,STOP,1,116.5,-1.0,-234.48,False
2021-09-16,SELL,2021-09-16T14:04:00+00:00,15386.25,15472.75,STOP,1,86.5,-1.0,-174.48,False
2021-09-17,SELL,2021-09-17T14:06:00+00:00,15381.75,15321.75,EOD,1,103.25,0.5811,118.52,False
2021-09-20,SELL,2021-09-20T14:21:00+00:00,15022.5,14965.0,EOD,1,128.75,0.4466,113.52,False
2021-09-21,SELL,2021-09-21T14:07:00+00:00,15028.0,15040.0,EOD,1,103.75,-0.1157,-25.48,False
2021-09-22,BUY,2021-09-22T14:02:00+00:00,15099.75,15177.75,EOD,1,85.0,0.9176,154.52,False
2021-09-23,BUY,2021-09-23T14:03:00+00:00,15303.75,15315.0,EOD,1,121.75,0.0924,21.02,False
2021-09-24,BUY,2021-09-24T14:03:00+00:00,15255.0,15323.5,EOD,1,65.25,1.0498,135.52,False
2021-09-28,SELL,2021-09-28T14:02:00+00:00,14902.5,14764.0,EOD,1,126.5,1.0949,275.52,False
2021-09-29,SELL,2021-09-29T15:36:00+00:00,14781.0,14739.25,EOD,1,122.25,0.3415,82.02,False
2021-09-30,SELL,2021-09-30T14:31:00+00:00,14802.0,14707.25,EOD,1,76.75,1.2345,188.02,False
2021-10-05,BUY,2021-10-05T14:02:00+00:00,14598.0,14673.25,EOD,1,100.5,0.7488,149.02,False
2021-10-06,SELL,2021-10-06T14:02:00+00:00,14507.5,14638.5,STOP,1,131.0,-1.0,-263.48,False
2021-10-07,BUY,2021-10-07T14:02:00+00:00,14968.5,14896.75,EOD,1,109.25,-0.6568,-144.98,False
