date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2025-01-06,BUY,2025-01-06T14:35:00+00:00,21780.0,21723.5,STOP,2,56.5,-1.0,-228.96,False
2025-01-10,SELL,2025-01-10T14:35:00+00:00,21158.25,21042.0,EOD,3,39.0,2.9808,693.06,False
2025-01-13,SELL,2025-01-13T14:35:00+00:00,20764.5,20785.5,STOP,5,21.0,-1.0,-217.4,False
2025-01-14,BUY,2025-01-14T14:35:00+00:00,21072.5,21018.25,STOP,2,54.25,-1.0,-219.96,False
2025-01-15,BUY,2025-01-15T14:35:00+00:00,21265.0,21221.0,STOP,2,44.0,-1.0,-178.96,False
2025-01-20,BUY,2025-01-20T14:35:00+00:00,21728.5,21713.25,STOP,7,15.25,-1.0,-223.86,False
2025-01-22,BUY,2025-01-22T14:35:00+00:00,21960.5,22015.75,EOD,2,58.0,0.9526,218.04,False
2025-01-31,BUY,2025-01-31T14:35:00+00:00,21812.75,21765.0,STOP,2,47.75,-1.0,-193.96,False
2025-02-27,BUY,2025-02-27T14:35:00+00:00,21347.25,21320.5,STOP,4,26.75,-1.0,-219.92,False
2025-03-03,BUY,2025-03-03T14:35:00+00:00,21087.75,21023.5,STOP,1,64.25,-1.0,-129.98,False
2025-03-04,SELL,2025-03-04T14:35:00+00:00,20308.75,20364.25,STOP,2,55.5,-1.0,-224.96,False
2025-03-06,SELL,2025-03-06T14:35:00+00:00,20281.0,20316.0,STOP,3,35.0,-1.0,-214.44,False
2025-03-10,SELL,2025-03-10T13:35:00+00:00,19817.75,19897.5,STOP,1,79.75,-1.0,-160.98,False
2025-03-12,BUY,2025-03-12T13:35:00+00:00,19735.75,19670.5,STOP,1,65.25,-1.0,-131.98,False
2025-03-14,BUY,2025-03-14T13:35:00+00:00,19538.5,19450.75,STOP,1,87.75,-1.0,-176.98,False
2025-03-21,SELL,2025-03-21T13:35:00+00:00,19655.75,19711.5,STOP,2,55.75,-1.0,-225.96,False
2025-04-07,SELL,2025-04-07T13:35:00+00:00,16908.25,16980.0,STOP,1,71.75,-1.0,-144.98,False
2025-04-08,BUY,2025-04-08T13:35:00+00:00,18169.0,18111.0,STOP,2,58.0,-1.0,-234.96,False
2025-04-23,BUY,2025-04-23T13:35:00+00:00,18988.5,18938.75,STOP,2,49.75,-1.0,-201.96,False
2025-04-30,SELL,2025-04-30T13:35:00+00:00,19294.75,19304.5,STOP,13,9.75,-1.0,-272.74,False
2025-05-26,BUY,2025-05-26T13:35:00+00:00,21300.0,21258.75,STOP,2,41.25,-1.0,-167.96,False
2025-06-16,BUY,2025-06-16T13:35:00+00:00,21848.75,21939.5,EOD,2,56.5,1.6062,360.04,False
2025-06-19,SELL,2025-06-19T13:35:00+00:00,21755.0,21703.0,EOD,3,31.75,1.6378,307.56,False
2025-06-20,BUY,2025-06-20T13:35:00+00:00,22090.0,22040.0,STOP,2,50.0,-1.0,-202.96,False
2025-06-24,BUY,2025-06-24T13:35:00+00:00,22295.25,22418.75,EOD,3,35.25,3.5035,736.56,False
2025-07-04,SELL,2025-07-04T13:35:00+00:00,22915.0,22924.0,STOP,13,9.0,-1.0,-253.24,False
2025-07-09,BUY,2025-07-09T13:35:00+00:00,23024.75,22978.0,STOP,2,46.75,-1.0,-189.96,False
2025-07-29,BUY,2025-07-29T13:35:00+00:00,23631.5,23592.0,STOP,3,39.5,-1.0,-241.44,False
2025-08-01,SELL,2025-08-01T13:35:00+00:00,23012.75,22899.25,EOD,1,83.0,1.3675,225.52,False
2025-08-04,BUY,2025-08-04T13:35:00+00:00,23129.75,23290.25,EOD,2,41.0,3.9146,639.04,False
2025-08-07,BUY,2025-08-07T13:35:00+00:00,23615.25,23582.0,STOP,3,33.25,-1.0,-203.94,False
2025-08-13,BUY,2025-08-13T13:35:00+00:00,24058.25,24028.75,STOP,4,29.5,-1.0,-241.92,False
2025-08-29,SELL,2025-08-29T13:35:00+00:00,23637.5,23429.25,EOD,4,30.5,6.8279,1660.08,False
2025-09-02,SELL,2025-09-02T13:35:00+00:00,23081.25,23102.5,STOP,5,21.25,-1.0,-219.9,True
2025-09-11,BUY,2025-09-11T13:35:00+00:00,23985.0,23967.75,STOP,7,17.25,-1.0,-251.86,False
2025-09-18,BUY,2025-09-18T13:35:00+00:00,24697.75,24653.75,STOP,2,44.0,-1.0,-178.96,False
2025-09-25,SELL,2025-09-25T13:35:00+00:00,24518.5,24578.75,STOP,2,60.25,-1.0,-243.96,False
2025-09-29,BUY,2025-09-29T13:35:00+00:00,24872.25,24848.25,STOP,5,24.0,-1.0,-247.4,False
2025-10-14,SELL,2025-10-14T13:35:00+00:00,24561.5,24641.5,STOP,1,80.0,-1.0,-161.48,False
2025-10-24,BUY,2025-10-24T13:35:00+00:00,25491.0,25532.25,EOD,2,61.25,0.6735,162.04,False
2025-10-27,BUY,2025-10-27T13:35:00+00:00,25823.5,25814.0,STOP,13,9.5,-1.0,-266.24,True
2025-10-30,SELL,2025-10-30T13:35:00+00:00,26043.75,26127.5,STOP,1,83.75,-1.0,-168.98,False
2025-11-04,SELL,2025-11-04T14:35:00+00:00,25676.75,25756.5,STOP,1,79.75,-1.0,-160.98,False
2025-11-07,SELL,2025-11-07T14:35:00+00:00,25058.0,25111.0,STOP,2,53.0,-1.0,-214.96,False
2025-11-10,BUY,2025-11-10T14:35:00+00:00,25570.25,25525.25,STOP,2,45.0,-1.0,-182.96,False
2025-11-13,SELL,2025-11-13T14:35:00+00:00,25434.0,25040.75,EOD,1,68.0,5.7831,785.02,False
