date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2025-01-08,BUY,2025-01-08T15:03:00+00:00,21392.75,21286.0,STOP,1,106.75,-1.0,-214.98,False
2025-01-20,SELL,2025-01-20T15:17:00+00:00,21709.75,21683.0,EOD,1,69.0,0.3877,52.02,False
2025-01-23,BUY,2025-01-23T15:35:00+00:00,21920.75,22005.75,EOD,2,54.75,1.5525,337.04,False
2025-01-24,SELL,2025-01-24T15:21:00+00:00,21995.25,21897.5,EOD,1,83.0,1.1777,194.02,False
2025-01-29,SELL,2025-01-29T15:29:00+00:00,21491.75,21527.25,EOD,1,114.5,-0.31,-72.48,False
2025-02-05,SELL,2025-02-05T15:05:00+00:00,21517.25,21591.5,STOP,1,74.25,-1.0,-149.98,False
2025-02-06,BUY,2025-02-06T15:12:00+00:00,21829.25,21738.25,STOP,1,91.0,-1.0,-183.48,False
2025-02-10,BUY,2025-02-10T15:02:00+00:00,21813.75,21852.75,EOD,1,69.75,0.5591,76.52,False
2025-02-11,BUY,2025-02-11T15:02:00+00:00,21813.25,21779.5,EOD,1,112.5,-0.3,-68.98,False
2025-02-13,BUY,2025-02-13T15:17:00+00:00,21953.5,22096.25,EOD,1,118.75,1.2021,284.02,False
2025-02-14,BUY,2025-02-14T15:10:00+00:00,22144.5,22214.25,EOD,2,54.5,1.2798,276.04,False
2025-02-17,BUY,2025-02-17T16:04:00+00:00,22245.25,22235.25,EOD,2,52.75,-0.1896,-42.96,False
2025-02-18,SELL,2025-02-18T15:02:00+00:00,22156.0,22192.25,EOD,1,112.0,-0.3237,-73.98,False
2025-02-19,SELL,2025-02-19T15:03:00+00:00,22150.75,22221.5,STOP,1,70.75,-1.0,-142.98,False
2025-02-21,SELL,2025-02-21T15:07:00+00:00,22073.25,21700.25,EOD,1,114.75,3.2505,744.52,False
2025-02-26,BUY,2025-02-26T15:04:00+00:00,21313.5,21189.0,STOP,1,124.5,-1.0,-250.48,False
2025-03-06,BUY,2025-03-06T15:04:00+00:00,20354.75,20228.25,STOP,1,126.5,-1.0,-254.48,False
2025-03-24,BUY,2025-03-24T14:24:00+00:00,20340.5,20397.75,EOD,1,111.25,0.5146,113.02,False
2025-03-25,BUY,2025-03-25T14:16:00+00:00,20435.5,20482.0,EOD,1,73.75,0.6305,91.52,False
2025-03-28,SELL,2025-03-28T14:04:00+00:00,19838.5,19470.25,EOD,1,103.0,3.5752,735.02,False
2025-05-02,BUY,2025-05-02T14:06:00+00:00,20129.0,20197.0,EOD,1,109.25,0.6224,134.52,False
2025-05-05,BUY,2025-05-05T14:02:00+00:00,20105.0,20056.75,EOD,1,119.75,-0.4029,-97.98,False
2025-05-06,BUY,2025-05-06T14:20:00+00:00,19868.0,19920.0,EOD,1,121.0,0.4298,102.52,False
2025-05-07,BUY,2025-05-07T14:11:00+00:00,19949.0,19857.5,STOP,1,91.5,-1.0,-184.48,False
2025-05-09,SELL,2025-05-09T14:21:00+00:00,20198.0,20165.5,EOD,1,81.75,0.3976,63.52,False
2025-05-15,BUY,2025-05-15T15:04:00+00:00,21354.75,21378.0,EOD,1,107.0,0.2173,45.02,False
2025-05-16,SELL,2025-05-16T14:36:00+00:00,21383.5,21470.0,STOP,1,86.5,-1.0,-174.48,False
2025-05-20,BUY,2025-05-20T14:41:00+00:00,21442.0,21354.75,STOP,1,87.25,-1.0,-175.98,False
2025-05-26,SELL,2025-05-26T14:31:00+00:00,21248.0,21283.5,EOD,2,59.75,-0.5941,-144.96,False
2025-05-28,SELL,2025-05-28T14:22:00+00:00,21445.5,21372.75,EOD,1,122.0,0.5963,144.02,False
2025-06-03,BUY,2025-06-03T14:02:00+00:00,21614.75,21699.25,EOD,1,105.0,0.8048,167.52,False
2025-06-04,SELL,2025-06-04T14:04:00+00:00,21702.5,21793.25,STOP,1,90.75,-1.0,-182.98,False
2025-06-06,SELL,2025-06-06T15:21:00+00:00,21758.0,21864.25,STOP,1,106.25,-1.0,-213.98,False
2025-06-09,BUY,2025-06-09T14:10:00+00:00,21823.0,21823.25,EOD,1,72.25,0.0035,-0.98,False
2025-06-11,BUY,2025-06-11T14:24:00+00:00,22026.5,21915.75,STOP,1,110.75,-1.0,-222.98,False
2025-06-12,BUY,2025-06-12T14:08:00+00:00,21894.0,21907.25,EOD,1,75.5,0.1755,25.02,False
2025-06-17,BUY,2025-06-17T14:12:00+00:00,21889.5,21802.25,STOP,1,87.25,-1.0,-175.98,False
2025-06-18,BUY,2025-06-18T14:09:00+00:00,22036.5,21926.25,STOP,1,110.25,-1.0,-221.98,False
2025-06-24,BUY,2025-06-24T14:43:00+00:00,22338.25,22418.75,EOD,1,78.25,1.0288,159.52,False
2025-06-25,SELL,2025-06-25T14:15:00+00:00,22474.5,22437.25,EOD,1,73.75,0.5051,73.02,False
2025-06-26,BUY,2025-06-26T14:22:00+00:00,22570.5,22679.5,EOD,1,94.5,1.1534,216.52,False
2025-06-27,BUY,2025-06-27T14:02:00+00:00,22788.75,22685.25,STOP,1,103.5,-1.0,-208.48,False
2025-07-01,BUY,2025-07-01T14:16:00+00:00,22844.0,22780.0,STOP,1,64.0,-1.0,-129.48,False
2025-07-02,BUY,2025-07-02T14:04:00+00:00,22737.25,22846.25,EOD,1,86.0,1.2674,216.52,False
2025-07-03,BUY,2025-07-03T14:02:00+00:00,23024.25,23059.0,EOD,1,94.0,0.3697,68.02,False
2025-07-04,BUY,2025-07-04T14:31:00+00:00,22938.75,22906.75,EOD,2,50.75,-0.6305,-130.96,False
2025-07-07,SELL,2025-07-07T14:57:00+00:00,22890.75,22868.5,EOD,1,86.75,0.2565,43.02,False
2025-07-08,SELL,2025-07-08T14:06:00+00:00,22875.75,22943.5,STOP,1,67.75,-1.0,-136.98,False
2025-07-09,BUY,2025-07-09T14:02:00+00:00,23104.25,22978.0,STOP,1,126.25,-1.0,-253.98,False
2025-07-11,BUY,2025-07-11T14:08:00+00:00,22971.0,22969.5,EOD,1,108.0,-0.0139,-4.48,False
2025-07-15,SELL,2025-07-15T14:53:00+00:00,23118.0,23090.5,EOD,1,104.75,0.2625,53.52,False
2025-07-17,BUY,2025-07-17T14:02:00+00:00,23171.0,23261.25,EOD,1,105.25,0.8575,179.02,False
2025-07-18,SELL,2025-07-18T14:05:00+00:00,23247.5,23224.0,EOD,2,62.5,0.376,91.04,False
2025-07-23,SELL,2025-07-23T14:05:00+00:00,23159.0,23263.75,STOP,1,104.75,-1.0,-210.98,False
2025-07-24,SELL,2025-07-24T14:10:00+00:00,23329.0,23401.0,STOP,1,72.0,-1.0,-145.48,False
2025-07-25,BUY,2025-07-25T14:12:00+00:00,23409.25,23422.5,EOD,1,78.5,0.1688,25.02,False
2025-07-28,BUY,2025-07-28T14:09:00+00:00,23525.0,23464.75,STOP,2,60.25,-1.0,-243.96,False
2025-07-29,SELL,2025-07-29T14:07:00+00:00,23553.25,23457.0,EOD,1,99.25,0.9698,191.02,False
2025-07-30,BUY,2025-07-30T14:51:00+00:00,23527.5,23450.75,STOP,1,76.75,-1.0,-154.98,False
2025-08-05,SELL,2025-08-05T14:18:00+00:00,23296.75,23147.25,EOD,1,100.5,1.4876,297.52,False
2025-08-06,BUY,2025-08-06T14:04:00+00:00,23250.5,23420.0,EOD,1,102.0,1.6618,337.52,False
2025-08-07,SELL,2025-08-07T14:25:00+00:00,23564.0,23451.75,EOD,1,94.75,1.1847,223.02,False
2025-08-08,BUY,2025-08-08T14:02:00+00:00,23650.75,23711.75,EOD,1,120.75,0.5052,120.52,False
2025-08-11,BUY,2025-08-11T14:11:00+00:00,23750.75,23680.75,STOP,1,70.0,-1.0,-141.48,False
2025-08-13,SELL,2025-08-13T14:02:00+00:00,23998.25,23944.0,EOD,1,70.25,0.7722,107.02,False
2025-08-14,BUY,2025-08-14T14:31:00+00:00,23962.5,23953.5,EOD,1,121.25,-0.0742,-19.48,False
2025-08-18,BUY,2025-08-18T14:26:00+00:00,23819.5,23735.0,STOP,1,84.5,-1.0,-170.48,False
2025-08-21,BUY,2025-08-21T14:13:00+00:00,23296.0,23175.75,STOP,1,120.25,-1.0,-241.98,False
2025-08-25,BUY,2025-08-25T14:03:00+00:00,23526.75,23540.25,EOD,1,83.5,0.1617,25.52,False
2025-08-26,BUY,2025-08-26T14:11:00+00:00,23519.0,23575.5,EOD,1,92.0,0.6141,111.52,False
2025-08-27,BUY,2025-08-27T14:15:00+00:00,23566.25,23632.0,EOD,1,78.75,0.8349,130.02,False
2025-09-01,BUY,2025-09-01T15:20:00+00:00,23495.25,23502.25,EOD,2,53.5,0.1308,25.04,False
