date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-15,SELL,2021-06-15T14:29:00+00:00,14069.75,14023.5,EOD,4,60.75,0.7613,364.08,False
2021-06-16,BUY,2021-06-16T14:08:00+00:00,14092.0,14042.5,STOP,5,49.5,-1.0,-502.4,False
2021-06-17,BUY,2021-06-17T14:03:00+00:00,14035.75,14173.25,EOD,2,103.75,1.3253,547.04,False
2021-06-18,SELL,2021-06-18T15:13:00+00:00,14042.75,14078.0,EOD,2,88.75,-0.3972,-143.96,False
2021-06-21,BUY,2021-06-21T14:11:00+00:00,14074.5,14131.75,EOD,2,116.0,0.4935,226.04,False
2021-06-22,BUY,2021-06-22T14:32:00+00:00,14179.25,14264.0,EOD,3,71.75,1.1812,504.06,False
2021-06-23,SELL,2021-06-23T15:05:00+00:00,14252.5,14259.25,EOD,4,59.25,-0.1139,-59.92,False
2021-06-24,BUY,2021-06-24T14:06:00+00:00,14388.75,14344.0,STOP,5,44.75,-1.0,-454.9,False
2021-06-25,SELL,2021-06-25T14:12:00+00:00,14325.5,14325.0,EOD,3,65.0,0.0077,-1.44,False
2021-06-28,BUY,2021-06-28T14:02:00+00:00,14461.75,14517.25,EOD,3,71.0,0.7817,328.56,False
2021-06-30,BUY,2021-06-30T15:01:00+00:00,14573.5,14519.75,STOP,4,53.75,-1.0,-435.92,False
2021-07-01,SELL,2021-07-01T14:21:00+00:00,14511.25,14538.5,EOD,4,58.75,-0.4638,-223.92,False
2021-07-06,BUY,2021-07-06T14:08:00+00:00,14778.5,14738.0,STOP,6,40.5,-1.0,-494.88,False
2021-07-07,SELL,2021-07-07T14:04:00+00:00,14811.0,14805.5,EOD,3,72.75,0.0756,28.56,False
2021-07-08,BUY,2021-07-08T14:06:00+00:00,14644.5,14687.75,EOD,2,104.0,0.4159,170.04,False
2021-07-09,BUY,2021-07-09T14:24:00+00:00,14726.0,14823.0,EOD,4,58.0,1.6724,770.08,False
2021-07-12,SELL,2021-07-12T14:02:00+00:00,14808.25,14865.75,EOD,3,80.25,-0.7165,-349.44,False
2021-07-13,BUY,2021-07-13T14:02:00+00:00,14929.75,14842.25,STOP,2,87.5,-1.0,-352.96,False
2021-07-14,BUY,2021-07-14T14:05:00+00:00,14992.25,14935.0,STOP,4,57.25,-1.0,-463.92,False
2021-07-15,SELL,2021-07-15T14:29:00+00:00,14787.5,14781.25,EOD,2,114.75,0.0545,22.04,False
2021-07-16,SELL,2021-07-16T14:09:00+00:00,14797.0,14670.75,EOD,3,72.5,1.7414,753.06,False
2021-07-19,SELL,2021-07-19T14:02:00+00:00,14458.0,14573.5,STOP,2,115.5,-1.0,-464.96,False
