date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2025-01-08,BUY,2025-01-08T15:03:00+00:00,21392.75,21286.0,STOP,1,106.75,-1.0,-214.98,False
2025-01-20,SELL,2025-01-20T15:17:00+00:00,21709.75,21707.5,EOD,1,69.0,0.0326,3.02,False
2025-01-23,BUY,2025-01-23T15:35:00+00:00,21920.75,21948.75,EOD,2,54.75,0.5114,109.04,False
2025-01-24,SELL,2025-01-24T15:21:00+00:00,21995.25,22013.25,EOD,1,83.0,-0.2169,-37.48,False
2025-01-29,SELL,2025-01-29T15:29:00+00:00,21491.75,21489.5,EOD,1,114.5,0.0197,3.02,False
2025-02-05,SELL,2025-02-05T15:05:00+00:00,21517.25,21591.5,STOP,1,74.25,-1.0,-149.98,False
2025-02-06,BUY,2025-02-06T15:12:00+00:00,21829.25,21800.5,EOD,1,91.0,-0.3159,-58.98,False
2025-02-10,BUY,2025-02-10T15:02:00+00:00,21813.75,21855.25,EOD,1,69.75,0.595,81.52,False
2025-02-11,BUY,2025-02-11T15:02:00+00:00,21813.25,21823.0,EOD,1,112.5,0.0867,18.02,False
2025-02-13,BUY,2025-02-13T15:17:00+00:00,21953.5,22002.5,EOD,1,118.75,0.4126,96.52,False
2025-02-14,BUY,2025-02-14T15:10:00+00:00,22144.5,22139.0,EOD,2,54.5,-0.1009,-24.96,False
2025-02-17,BUY,2025-02-17T16:04:00+00:00,22245.25,22247.25,EOD,2,52.75,0.0379,5.04,False
2025-02-18,SELL,2025-02-18T15:02:00+00:00,22156.0,22204.25,EOD,1,112.0,-0.4308,-97.98,False
2025-02-19,SELL,2025-02-19T15:03:00+00:00,22150.75,22221.5,STOP,1,70.75,-1.0,-142.98,False
2025-02-21,SELL,2025-02-21T15:07:00+00:00,22073.25,21992.75,EOD,1,114.75,0.7015,159.52,False
2025-02-26,BUY,2025-02-26T15:04:00+00:00,21313.5,21365.5,EOD,1,124.5,0.4177,102.52,False
2025-03-24,BUY,2025-03-24T14:24:00+00:00,20340.5,20355.75,EOD,1,111.25,0.1371,29.02,False
2025-03-25,BUY,2025-03-25T14:16:00+00:00,20435.5,20475.25,EOD,1,73.75,0.539,78.02,False
2025-03-28,SELL,2025-03-28T14:04:00+00:00,19838.5,19600.75,EOD,1,103.0,2.3083,474.02,False
2025-05-02,BUY,2025-05-02T14:06:00+00:00,20129.0,20141.5,EOD,1,109.25,0.1144,23.52,False
2025-05-05,BUY,2025-05-05T14:02:00+00:00,20105.0,20097.5,EOD,1,119.75,-0.0626,-16.48,False
2025-05-06,BUY,2025-05-06T14:20:00+00:00,19868.0,19942.25,EOD,1,121.0,0.6136,147.02,False
2025-05-07,BUY,2025-05-07T14:11:00+00:00,19949.0,19857.5,STOP,1,91.5,-1.0,-184.48,False
2025-05-09,SELL,2025-05-09T14:21:00+00:00,20198.0,20133.75,EOD,1,81.75,0.7859,127.02,False
2025-05-15,BUY,2025-05-15T15:04:00+00:00,21354.75,21406.25,EOD,1,107.0,0.4813,101.52,False
2025-05-16,SELL,2025-05-16T14:36:00+00:00,21383.5,21398.75,EOD,1,86.5,-0.1763,-31.98,False
2025-05-20,BUY,2025-05-20T14:41:00+00:00,21442.0,21422.25,EOD,1,87.25,-0.2264,-40.98,False
2025-05-26,SELL,2025-05-26T14:31:00+00:00,21248.0,21253.25,EOD,2,59.75,-0.0879,-23.96,False
2025-05-28,SELL,2025-05-28T14:22:00+00:00,21445.5,21458.0,EOD,1,122.0,-0.1025,-26.48,False
2025-06-03,BUY,2025-06-03T14:02:00+00:00,21614.75,21672.0,EOD,1,105.0,0.5452,113.02,False
2025-06-04,SELL,2025-06-04T14:04:00+00:00,21702.5,21754.75,EOD,1,90.75,-0.5758,-105.98,False
