date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-15,SELL,2021-06-15T14:29:00+00:00,14069.75,14059.25,EOD,4,60.75,0.1728,78.08,False
2021-06-16,BUY,2021-06-16T14:08:00+00:00,14092.0,14042.5,STOP,5,49.5,-1.0,-502.4,False
2021-06-17,BUY,2021-06-17T14:03:00+00:00,14035.75,14160.0,EOD,2,103.75,1.1976,494.04,False
2021-06-18,SELL,2021-06-18T15:13:00+00:00,14042.75,14015.0,EOD,2,88.75,0.3127,108.04,False
2021-06-21,BUY,2021-06-21T14:11:00+00:00,14074.5,14105.75,EOD,2,116.0,0.2694,122.04,False
2021-06-22,BUY,2021-06-22T14:32:00+00:00,14179.25,14206.75,EOD,3,71.75,0.3833,160.56,False
2021-06-23,SELL,2021-06-23T15:05:00+00:00,14252.5,14270.75,EOD,4,59.25,-0.308,-151.92,False
2021-06-24,BUY,2021-06-24T14:06:00+00:00,14388.75,14395.5,EOD,5,44.75,0.1508,60.1,False
2021-06-25,SELL,2021-06-25T14:12:00+00:00,14325.5,14354.5,EOD,3,65.0,-0.4462,-178.44,False
2021-06-28,BUY,2021-06-28T14:02:00+00:00,14461.75,14474.75,EOD,3,71.0,0.1831,73.56,False
2021-06-30,BUY,2021-06-30T15:01:00+00:00,14573.5,14548.75,EOD,4,53.75,-0.4605,-203.92,False
2021-07-01,SELL,2021-07-01T14:21:00+00:00,14511.25,14491.5,EOD,4,58.75,0.3362,152.08,False
2021-07-06,BUY,2021-07-06T14:08:00+00:00,14778.5,14738.0,STOP,6,40.5,-1.0,-494.88,False
2021-07-07,SELL,2021-07-07T14:04:00+00:00,14811.0,14766.5,EOD,3,72.75,0.6117,262.56,False
2021-07-08,BUY,2021-07-08T14:06:00+00:00,14644.5,14645.0,EOD,2,104.0,0.0048,-0.96,False
2021-07-09,BUY,2021-07-09T14:24:00+00:00,14726.0,14796.75,EOD,4,58.0,1.2198,560.08,False
2021-07-12,SELL,2021-07-12T14:02:00+00:00,14808.25,14828.25,EOD,3,80.25,-0.2492,-124.44,False
2021-07-13,BUY,2021-07-13T14:02:00+00:00,14929.75,14989.75,EOD,2,87.5,0.6857,237.04,False
2021-07-14,BUY,2021-07-14T14:05:00+00:00,14992.25,14935.0,STOP,4,57.25,-1.0,-463.92,False
2021-07-15,SELL,2021-07-15T14:29:00+00:00,14787.5,14818.0,EOD,2,114.75,-0.2658,-124.96,False
2021-07-16,SELL,2021-07-16T14:09:00+00:00,14797.0,14710.5,EOD,3,72.5,1.1931,514.56,False
2021-07-19,SELL,2021-07-19T14:02:00+00:00,14458.0,14533.0,EOD,2,115.5,-0.6494,-302.96,False
2021-07-20,BUY,2021-07-20T14:21:00+00:00,14608.5,14662.0,EOD,2,91.75,0.5831,211.04,False
2021-07-21,BUY,2021-07-21T14:25:00+00:00,14761.25,14774.25,EOD,3,69.0,0.1884,73.56,False
2021-07-22,BUY,2021-07-22T14:04:00+00:00,14895.25,14894.5,EOD,4,55.75,-0.0135,-11.92,False
2021-07-23,BUY,2021-07-23T14:18:00+00:00,14999.25,15057.75,EOD,3,65.0,0.9,346.56,False
2021-07-26,BUY,2021-07-26T14:02:00+00:00,15101.75,15106.0,EOD,4,61.5,0.0691,28.08,False
2021-07-27,SELL,2021-07-27T14:06:00+00:00,15016.0,14871.25,EOD,2,91.0,1.5907,576.04,False
2021-07-28,BUY,2021-07-28T14:18:00+00:00,15037.75,15015.5,EOD,1,136.25,-0.1633,-45.98,False
