date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-23,BUY,2021-06-23T08:42:00+00:00,14268.5,14263.5,STOP,2,5.0,-0.075,-24.0,False
2021-06-30,SELL,2021-06-30T07:00:00+00:00,14576.5,14579.5,STOP,4,3.0,0.1667,22.0,False
2021-06-30,SELL,2021-06-30T08:00:00+00:00,14583.75,14576.0,TARGET,4,3.0,2.5833,602.0,False
2021-07-09,BUY,2021-07-09T06:08:00+00:00,14696.0,14700.75,TARGET,1,6.5,0.7308,90.5,False
2021-07-09,SELL,2021-07-09T07:03:00+00:00,14705.5,14711.75,STOP,2,6.25,-1.0,-259.0,True
2021-07-14,BUY,2021-07-14T07:23:00+00:00,14866.75,14875.0,TARGET,1,9.0,0.9167,160.5,False
2021-07-19,BUY,2021-07-19T09:11:00+00:00,14610.5,14613.0,STOP,2,5.25,0.4762,91.0,False
2021-07-20,SELL,2021-07-20T08:52:00+00:00,14614.5,14607.25,TARGET,3,3.25,1.2308,226.5,False
2021-07-22,BUY,2021-07-22T08:00:00+00:00,14864.5,14860.75,STOP,3,3.75,-1.0,-238.5,False
2021-07-26,BUY,2021-07-26T06:44:00+00:00,15099.0,15095.0,STOP,3,4.0,-0.5417,-143.5,False
2021-07-27,BUY,2021-07-27T07:39:00+00:00,15061.75,15054.5,STOP,1,7.25,-1.0,-149.5,True
2021-08-02,SELL,2021-08-02T06:31:00+00:00,15041.25,15044.25,STOP,4,3.0,-1.0,-258.0,False
2021-08-02,SELL,2021-08-02T07:00:00+00:00,15042.25,15039.75,TARGET,1,3.5,0.7143,45.5,False
2021-08-10,SELL,2021-08-10T07:31:00+00:00,15135.75,15139.0,STOP,3,3.25,-1.0,-208.5,False
2021-08-10,BUY,2021-08-10T08:06:00+00:00,15140.0,15141.0,TARGET,1,3.5,0.2857,15.5,False
2021-08-11,SELL,2021-08-11T07:08:00+00:00,15037.5,15030.5,TARGET,2,4.5,1.5556,271.0,False
2021-08-12,SELL,2021-08-12T09:18:00+00:00,15005.75,15009.25,STOP,3,3.5,-1.0,-223.5,False
2021-08-17,BUY,2021-08-17T07:00:00+00:00,15095.75,15095.75,STOP,3,3.75,0.3111,56.5,False
2021-08-17,BUY,2021-08-17T08:08:00+00:00,15073.0,15082.5,TARGET,1,8.0,1.1875,185.5,False
2021-08-25,SELL,2021-08-25T08:13:00+00:00,15376.0,15379.5,STOP,3,3.5,-1.0,-223.5,False
2021-09-09,SELL,2021-09-09T06:45:00+00:00,15571.0,15569.0,STOP,3,4.0,1.0833,246.5,False
2021-09-14,SELL,2021-09-14T08:23:00+00:00,15427.25,15431.5,STOP,2,4.25,-0.2941,-59.0,False
2021-09-16,BUY,2021-09-16T08:49:00+00:00,15474.25,15470.75,STOP,3,3.5,-1.0,-223.5,False
2021-09-17,BUY,2021-09-17T07:06:00+00:00,15520.5,15516.25,STOP,2,4.25,-0.0882,-24.0,False
2021-09-20,SELL,2021-09-20T06:56:00+00:00,15217.0,15210.5,TARGET,4,3.0,0.9167,202.0,False
2021-09-20,SELL,2021-09-20T08:43:00+00:00,15177.5,15182.5,STOP,2,5.0,-1.0,-209.0,False
2021-09-21,SELL,2021-09-21T07:00:00+00:00,15077.75,15082.0,STOP,2,4.25,-1.0,-179.0,True
2021-09-30,SELL,2021-09-30T08:42:00+00:00,14840.75,14847.25,STOP,1,6.5,-1.0,-134.5,False
2021-10-06,SELL,2021-10-06T06:49:00+00:00,14566.5,14571.75,STOP,2,5.25,-1.0,-219.0,False
2021-10-06,SELL,2021-10-06T09:08:00+00:00,14467.0,14463.75,TARGET,1,5.75,0.5652,60.5,False
2021-10-08,BUY,2021-10-08T07:17:00+00:00,14885.25,14891.5,TARGET,1,8.75,0.7143,120.5,False
2021-10-08,SELL,2021-10-08T08:07:00+00:00,14864.0,14869.5,STOP,2,5.5,-1.0,-229.0,True
2021-10-13,BUY,2021-10-13T06:32:00+00:00,14624.25,14626.5,STOP,2,4.25,0.5294,81.0,False
2021-10-15,SELL,2021-10-15T06:56:00+00:00,15076.75,15080.0,STOP,3,3.25,-1.0,-208.5,False
2021-10-15,SELL,2021-10-15T07:56:00+00:00,15059.5,15057.5,TARGET,1,4.5,0.4444,35.5,False
2021-10-18,BUY,2021-10-18T08:24:00+00:00,15088.0,15083.5,STOP,2,4.5,0.0833,6.0,False
2021-10-26,BUY,2021-10-26T08:24:00+00:00,15601.5,15597.75,STOP,3,3.75,-0.5556,-138.5,False
2021-10-27,BUY,2021-10-27T08:16:00+00:00,15574.75,15571.5,STOP,3,3.25,-1.0,-208.5,False
2021-10-27,SELL,2021-10-27T08:46:00+00:00,15570.0,15564.75,TARGET,2,3.0,1.75,201.0,False
2021-11-01,SELL,2021-11-01T07:30:00+00:00,15876.0,15874.5,STOP,4,3.0,0.5,102.0,False
2021-11-10,SELL,2021-11-10T07:58:00+00:00,16234.0,16239.5,STOP,2,5.5,-1.0,-229.0,False
2021-11-10,SELL,2021-11-10T08:08:00+00:00,16233.25,16232.25,TARGET,1,3.5,0.2857,15.5,False
2021-11-22,SELL,2021-11-22T07:09:00+00:00,16616.0,16619.5,STOP,3,3.5,-0.5476,-128.5,False
2021-11-22,SELL,2021-11-22T10:10:00+00:00,16642.75,16638.0,TARGET,1,3.25,1.4615,90.5,False
2021-12-02,BUY,2021-12-02T08:05:00+00:00,15936.0,15929.75,STOP,1,6.25,-1.0,-129.5,False
2021-12-09,BUY,2021-12-09T07:46:00+00:00,16391.75,16395.25,TARGET,2,4.75,0.6053,106.0,False
2021-12-15,BUY,2021-12-15T08:28:00+00:00,15942.0,15935.5,STOP,1,6.5,-1.0,-134.5,False
2021-12-20,BUY,2021-12-20T08:05:00+00:00,15573.0,15575.5,STOP,2,5.25,0.4762,91.0,False
2021-12-27,BUY,2021-12-27T07:08:00+00:00,16335.0,16332.0,STOP,4,3.0,0.4583,92.0,False
2021-12-27,SELL,2021-12-27T08:03:00+00:00,16314.0,16318.5,STOP,2,4.5,-0.0556,-19.0,False
2022-01-03,SELL,2022-01-03T09:10:00+00:00,16399.0,16402.5,STOP,3,3.5,-1.0,-223.5,False
2022-01-03,SELL,2022-01-03T09:24:00+00:00,16400.5,16393.5,TARGET,1,4.75,1.4737,135.5,False
2022-01-05,BUY,2022-01-05T09:01:00+00:00,16220.75,16229.75,TARGET,2,5.75,1.5217,341.0,False
2022-01-06,SELL,2022-01-06T08:41:00+00:00,15721.5,15732.75,STOP,1,11.25,-1.0,-229.5,False
2022-01-10,BUY,2022-01-10T07:37:00+00:00,15658.0,15650.0,STOP,1,8.0,-1.0,-164.5,False
2022-01-12,SELL,2022-01-12T07:30:00+00:00,15855.25,15861.0,STOP,2,5.75,-1.0,-239.0,False
