date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-17,SELL,2021-06-17T13:46:00+00:00,14005.0,13998.0,STOP,8,14.0,0.5,100.16,False
2021-06-17,SELL,2021-06-17T15:07:00+00:00,14119.5,14115.5,STOP,16,7.75,0.5161,104.32,False
2021-06-21,BUY,2021-06-21T13:46:00+00:00,13982.0,14069.75,TARGET,6,19.75,4.443,1044.12,False
2021-07-08,SELL,2021-07-08T15:09:00+00:00,14620.5,14637.75,STOP,7,17.25,-1.0,-251.86,False
2021-07-16,BUY,2021-07-16T13:40:00+00:00,14842.25,14828.5,STOP,9,13.75,-0.1919,-60.82,False
2021-08-06,SELL,2021-08-06T15:18:00+00:00,15079.25,15077.0,STOP,28,4.5,0.4722,77.56,False
2021-08-09,SELL,2021-08-09T13:54:00+00:00,15120.0,15111.5,STOP,7,17.0,0.5,108.64,False
2021-08-09,BUY,2021-08-09T14:46:00+00:00,15116.0,15106.0,STOP,12,10.0,-1.0,-257.76,False
2021-08-16,SELL,2021-08-16T15:00:00+00:00,14947.75,14941.25,STOP,9,13.0,0.5,103.68,False
2021-08-26,BUY,2021-08-26T14:16:00+00:00,15342.5,15336.25,STOP,20,6.25,-1.0,-279.6,False
2021-08-26,SELL,2021-08-26T15:07:00+00:00,15279.75,15297.25,STOP,3,17.5,-1.0,-109.44,False
2021-08-27,BUY,2021-08-27T13:35:00+00:00,15310.0,15316.0,STOP,10,11.75,0.5106,105.2,True
2021-09-07,SELL,2021-09-07T13:38:00+00:00,15656.0,15620.25,TARGET,9,12.75,1.4837,327.18,False
2021-09-09,SELL,2021-09-09T14:30:00+00:00,15665.25,15660.75,STOP,14,9.0,1.6706,400.28,False
2021-09-20,SELL,2021-09-20T15:05:00+00:00,15010.5,15028.5,STOP,7,18.0,-1.0,-262.36,False
2021-09-23,BUY,2021-09-23T14:27:00+00:00,15322.25,15315.5,STOP,18,6.75,-0.1852,-71.64,False
2021-09-24,SELL,2021-09-24T14:23:00+00:00,15248.25,15241.0,STOP,8,14.5,0.5,104.16,False
2021-09-24,SELL,2021-09-24T15:03:00+00:00,15236.25,15231.0,STOP,12,10.5,1.7143,414.24,False
