date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-17,SELL,2021-06-17T15:07:00+00:00,14119.5,14115.5,STOP,16,7.75,0.5161,104.32,False
2021-06-25,SELL,2021-06-25T14:41:00+00:00,14364.25,14360.0,STOP,14,8.5,1.2353,273.28,False
2021-08-09,BUY,2021-08-09T14:46:00+00:00,15116.0,15106.0,STOP,12,10.0,-1.0,-257.76,False
2021-08-16,SELL,2021-08-16T15:00:00+00:00,14947.75,14941.25,STOP,9,13.0,0.5,103.68,False
2021-08-26,BUY,2021-08-26T14:16:00+00:00,15342.5,15336.25,STOP,20,6.25,-1.0,-279.6,False
2021-08-31,SELL,2021-08-31T15:00:00+00:00,15560.25,15545.5,TARGET,21,5.75,2.0373,460.92,False
2021-09-09,SELL,2021-09-09T14:30:00+00:00,15665.25,15660.75,STOP,14,9.0,1.6706,400.28,False
2021-09-24,SELL,2021-09-24T14:23:00+00:00,15248.25,15241.0,STOP,8,14.5,0.5,104.16,False
2021-11-01,SELL,2021-11-01T15:00:00+00:00,15816.75,15825.25,STOP,14,8.5,-1.0,-258.72,False
2021-12-08,SELL,2021-12-08T15:33:00+00:00,16308.75,16300.75,STOP,7,16.0,1.4107,305.64,False
2022-01-13,BUY,2022-01-13T16:03:00+00:00,15747.5,15821.5,TARGET,6,18.75,3.9467,879.12,False
2022-01-21,SELL,2022-01-21T16:05:00+00:00,14795.25,14818.75,STOP,5,23.5,-1.0,-242.4,False
2022-02-08,BUY,2022-02-08T15:27:00+00:00,14498.75,14477.5,STOP,6,21.25,-1.0,-263.88,False
2022-02-09,SELL,2022-02-09T15:26:00+00:00,14913.5,14928.75,STOP,8,15.25,-1.0,-255.84,False
2022-02-10,BUY,2022-02-10T15:16:00+00:00,14927.0,14943.0,STOP,3,32.25,1.3514,257.06,False
2022-02-16,SELL,2022-02-16T15:24:00+00:00,14426.0,14442.0,STOP,8,16.0,-1.0,-267.84,False
2022-02-18,BUY,2022-02-18T15:16:00+00:00,14136.5,14114.25,STOP,5,22.25,-1.0,-229.9,False
2022-02-21,BUY,2022-02-21T15:26:00+00:00,13841.25,13832.5,STOP,14,8.75,-1.0,-265.72,True
2022-02-28,SELL,2022-02-28T15:27:00+00:00,14099.25,14119.25,STOP,6,20.0,-1.0,-248.88,False
2022-03-21,SELL,2022-03-21T15:10:00+00:00,14345.75,14360.75,STOP,8,15.0,-1.0,-251.84,False
2022-04-20,SELL,2022-04-20T14:26:00+00:00,14091.75,14118.25,STOP,4,26.5,-1.0,-217.92,False
2022-04-29,BUY,2022-04-29T15:07:00+00:00,13197.0,13178.0,STOP,6,19.0,-1.0,-236.88,False
